"key","context","status","comment","en-US","de-DE","es-419","fr-FR","it-IT","ja-JP","ko-KR","pt-BR","ru-RU","zh-CN","screenshotable","batch","test_name","en-US_screenshot","de-DE_screenshot","es-419_screenshot","fr-FR_screenshot","it-IT_screenshot","ja-JP_screenshot","ko-KR_screenshot","pt-BR_screenshot","ru-RU_screenshot","zh-CN_screenshot"
"Afghanistan162287802","this is a country","verified","","Afghanistan","Afghanistan","Afganistán","Afghanistan","Afghanistan","アフガニスタン","아프카니스탄","Afeganistão","Афганистан","阿富汗","no","1","","","","","","","","","","",""
"Albania274921017","this is a country","verified","","Albania","Albanien","Albania","Albanie","Albania","アルバニア","알바니아","Albânia","Албания","阿尔巴尼亚","no","1","","","","","","","","","","",""
"Algeria546430239","this is a country","verified","","Algeria","Algerien","Argelia","Algérie","Algeria","アルジェリア","알제리","Argélia","Алжир","阿尔及利亚","no","1","","","","","","","","","","",""
"American_Samoa718387444","this is a country","verified","","American Samoa","Amerikanisch-Samoa","Samoa Americana","Samoa américaines","Samoa americane","米領サモア","미국령 사모아","Samoa Americana","Восточное Самоа","美属萨摩亚","no","1","","","","","","","","","","",""
"Andorra738086208","this is a country","verified","","Andorra","Andorra","Andorra","Andorre","Andorra","アンドラ","안도라","Andorra","Андорра","安道尔","no","1","","","","","","","","","","",""
"Angola1042912971","this is a country","verified","","Angola","Angola","Angola","Angola","Angola","アンゴラ","앙골라","Angola","Ангола","安哥拉","no","1","","","","","","","","","","",""
"Anguilla758593494","this is a country","verified","","Anguilla","Anguilla","Anguilla","Anguilla","Anguilla","アンギラ","안길라","Anguila","Ангилья","安圭拉","no","1","","","","","","","","","","",""
"Antarctica894944817","this is a country","verified","","Antarctica","Antarktis","Antártida","Antarctique","Antartide","南極","남극","Antártida","Антарктида","南极洲","no","1","","","","","","","","","","",""
"Antigua_and_Barbuda447223174","this is a country","verified","","Antigua and Barbuda","Antigua und Barbuda","Antigua y Barbuda","Antigua et Barbuda","Antigua e Barbuda","アンティグァ バーブーダ","안티구아 바부다","Antígua e Barbuda","Антигуа и Барбуда","安提瓜和巴布达","no","1","","","","","","","","","","",""
"Argentina399801906","this is a country","verified","","Argentina","Argentinien","Argentina","Argentine","Argentina","アルゼンチン","아르헨티나","Argentina","Аргентина","阿根廷","no","1","","","","","","","","","","",""
"Armenia1006830262","this is a country","verified","","Armenia","Armenien","Armenia","Arménie","Armenia","アルメニア","아르메니아","Armênia","Армения","亚美尼亚","no","1","","","","","","","","","","",""
"Aruba848602329","this is a country","verified","","Aruba","Aruba","Aruba","Aruba","Aruba","アルバ","아루바","Aruba","Аруба","阿鲁巴","no","1","","","","","","","","","","",""
"Australia72132524","this is a country","verified","","Australia","Australien","Australia","Australie","Australia","オーストラリア","오스트레일리아","Austrália","Австралия","澳大利亚","no","1","","","","","","","","","","",""
